word,n
development,38
environmental,35
economic,29
income,29
social,26
women,25
households,24
data,21
food,21
rural,21
inequality,19
study,18
based,17
essay,17
find,17
level,17
three,17
countries,16
labor,16
using,16
analysis,15
employment,15
examines,15
local,15
pollution,15
poverty,15
community,14
land,14
farmers,13
household,13
state,13
first,12
health,12
migration,12
model,12
programs,12
role,12
among,11
findings,11
research,11
results,11
small,11
two,11
access,10
changes,10
coffee,10
distribution,10
evidence,10
informal,10
long,10
low,10
market,10
outcomes,10
policy,10
sector,10
self,10
studies,10
survey,10
trade,10
wage,10
agriculture,9
air,9
constraints,9
consumption,9
developing,9
empirical,9
factors,9
farms,9
financial,9
framework,9
global,9
literature,9
livelihoods,9
organic,9
power,9
production,9
second,9
well,9
work,9
across,8
analyzes,8
benefits,8
conducted,8
consequences,8
disparities,8
economy,8
exposure,8
focus,8
important,8
investment,8
kenya,8
less,8
new,8
relationship,8
support,8
case,7
costs,7
demand,7
differences,7
economic development,7
farming,7
female,7
gender,7
government,7
impact,7
impacts,7
inequalities,7
milk,7
opportunities,7
products,7
public,7
regions,7
significant,7
sustainable,7
sustainable development,7
tanzania,7
third,7
urban,7
use,7
used,7
working,7
agricultural,6
air pollution,6
analyze,6
black,6
cclc,6
chinese,6
common,6
conditions,6
conflict,6
cultural,6
developing countries,6
different,6
effects,6
essays,6
field,6
finance,6
firms,6
gendered,6
headed,6
headed households,6
high,6
hispanic,6
incomes,6
insecurity,6
institutions,6
male,6
national,6
non,6
participation,6
policies,6
post,6
processes,6
provides,6
provisioning,6
rates,6
resources,6
revenue,6
security,6
self provisioning,6
show,6
smallholders,6
socio,6
thus,6
violence,6
wealth,6
whether,6
workers,6
approach,5
aspects,5
chain,5
challenges,5
china,5
cities,5
commodity,5
communities,5
community based,5
cooperatives,5
country,5
demographic,5
despite,5
due,5
environmental justice,5
essay examines,5
expected,5
experience,5
explore,5
farm,5
female headed,5
first essay,5
food insecurity,5
food security,5
forest,5
fracking,5
implementation,5
interviews,5
investigates,5
investors,5
justice,5
lower,5
might,5
mothers,5
much,5
often,5
oil,5
order,5
organic farming,5
ost,5
ost programs,5
part,5
particular,5
political,5
pollution exposure,5
qualitative,5
quantitative,5
relationships,5
result,5
run,5
rwanda,5
smes,5
socio economic,5
south,5
statistical,5
strategies,5
surveys,5
system,5
texas,5
third essay,5
time,5
us,5
vulnerable,5
white,5
within,5
african,4
agrarian,4
banaras,4
birth,4
business,4
capital,4
challenge,4
change,4
children,4
chinese rural,4
co,4
common pool,4
compared,4
conclude,4
consists,4
contributes,4
contribution,4
conventional,4
cooperative,4
degradation,4
depth,4
determining,4
district,4
econometric,4
efforts,4
environmental degradation,4
examining,4
explain,4
fair,4
fair trade,4
finds,4
food self,4
foreign,4
forest products,4
found,4
fragmentation,4
global environmental,4
governance,4
greater,4
higher,4
however,4
human,4
hypothesis,4
increase,4
increased,4
industry,4
informal economy,4
insights,4
institutional,4
intensity,4
lens,4
likely,4
location,4
long term,4
made,4
major,4
making,4
may,4
methods,4
norms,4
one,4
outsourcing,4
overall,4
overcome,4
partnerships,4
performance,4
pool,4
post conflict,4
poverty reduction,4
problems,4
program,4
provide,4
public investment,4
reduction,4
reforms,4
regional,4
rights,4
risk,4
rsei,4
rural poverty,4
scale,4
size,4
south sudan,4
spending,4
states,4
structures,4
sudan,4
term,4
three essays,4
traders,4
turkey,4
uses,4
value,4
years,4
yield,4
action,3
activity,3
adverse,3
affect,3
aftermath,3
assess,3
